latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
38.7037,-8.4562,313.7,1.0,1.0,2004-01-05,1345,Aqua,MODIS,74,6.2,290.9,13.5,D,0,Lisboa VT
38.7057,-8.4479,312.4,1.3,1.1,2004-01-06,1114,Terra,MODIS,72,6.2,286.1,18.6,D,0,Lisboa VT
38.7026,-8.4499,301.1,1.0,1.0,2004-01-20,1126,Terra,MODIS,45,6.2,284.4,6.3,D,0,Lisboa VT
38.7042,-8.4614,302.4,1.0,1.0,2004-01-20,1126,Terra,MODIS,52,6.2,283.3,7.0,D,0,Lisboa VT
37.8352,-8.481,306.2,1.0,1.0,2004-01-21,1344,Aqua,MODIS,63,6.2,284.7,8.3,D,0,Alentejo
41.7866,-8.2143,304.4,1.1,1.0,2004-01-21,1345,Aqua,MODIS,46,6.2,285.4,8.0,D,0,Norte
41.7922,-8.2228,302.5,1.1,1.0,2004-01-21,1345,Aqua,MODIS,50,6.2,284.7,8.2,D,0,Norte
40.3466,-7.596,305.3,1.1,1.1,2004-01-21,1345,Aqua,MODIS,61,6.2,285.2,10.5,D,0,Centro
32.737,-17.1439,311.2,1.5,1.2,2004-02-03,1140,Terra,MODIS,47,6.2,286.7,19.7,D,0,Other
32.6702,-16.9681,311.4,2.4,1.5,2004-02-03,1451,Aqua,MODIS,43,6.2,294.7,31.7,D,0,Other
32.7473,-16.8503,305.7,1.0,1.0,2004-02-06,2312,Terra,MODIS,22,6.2,279.8,9.2,N,0,Other
32.8327,-17.2197,313.1,1.1,1.0,2004-02-07,1426,Aqua,MODIS,57,6.2,290.5,11.2,D,0,Other
32.8341,-17.209,313.7,1.1,1.0,2004-02-07,1426,Aqua,MODIS,59,6.2,292.5,11.9,D,0,Other
41.9676,-8.3016,303.6,1.0,1.0,2004-02-08,1333,Aqua,MODIS,56,6.2,286.7,6.2,D,0,Norte
41.74,-8.0244,300.2,1.0,1.0,2004-02-08,1333,Aqua,MODIS,33,6.2,290.2,3.4,D,0,Norte
41.9304,-6.5969,328.1,1.3,1.1,2004-02-10,1143,Terra,MODIS,85,6.2,286.5,41.9,D,0,Norte
42.0473,-8.1109,304.4,1.1,1.1,2004-02-10,1143,Terra,MODIS,59,6.2,285.2,8.9,D,0,Other
42.045,-8.0977,301.1,1.1,1.1,2004-02-10,1143,Terra,MODIS,45,6.2,285.0,6.7,D,0,Other
40.9768,-8.0816,306.8,1.2,1.1,2004-02-10,1144,Terra,MODIS,64,6.2,286.9,11.2,D,0,Centro
40.9744,-8.0681,301.1,1.2,1.1,2004-02-10,1144,Terra,MODIS,43,6.2,287.1,7.1,D,0,Centro
41.4649,-7.7349,302.8,1.2,1.1,2004-02-10,1144,Terra,MODIS,54,6.2,282.7,8.9,D,0,Norte
41.8031,-7.9923,308.3,1.2,1.1,2004-02-10,1321,Aqua,MODIS,67,6.2,288.4,10.9,D,0,Norte
42.0444,-8.1015,304.9,1.2,1.1,2004-02-10,1321,Aqua,MODIS,60,6.2,287.2,9.2,D,0,Other
42.0419,-8.1154,308.4,1.2,1.1,2004-02-10,1321,Aqua,MODIS,67,6.2,287.2,11.9,D,0,Other
41.7936,-7.9897,327.8,1.2,1.1,2004-02-10,1321,Aqua,MODIS,85,6.2,289.1,33.4,D,0,Norte
41.9907,-8.2924,300.6,1.2,1.1,2004-02-10,1321,Aqua,MODIS,40,6.2,289.4,6.0,D,0,Norte
41.4143,-6.9316,307.2,1.1,1.0,2004-02-10,1321,Aqua,MODIS,65,6.2,288.6,9.6,D,0,Norte
41.7959,-7.9765,310.0,1.2,1.1,2004-02-10,1321,Aqua,MODIS,60,6.2,289.6,11.8,D,0,Norte
40.9806,-8.0821,300.1,1.2,1.1,2004-02-10,1321,Aqua,MODIS,21,6.2,283.3,5.7,D,0,Centro
41.4462,-7.6708,301.9,1.2,1.1,2004-02-10,1321,Aqua,MODIS,50,6.2,286.6,6.9,D,0,Norte
41.878,-6.7668,301.0,1.1,1.0,2004-02-10,1321,Aqua,MODIS,44,6.2,289.7,5.4,D,0,Norte
41.7351,-7.9721,303.7,1.3,1.1,2004-02-10,2249,Terra,MODIS,57,6.2,277.0,14.2,N,0,Norte
38.5737,-8.9576,301.8,1.5,1.2,2004-02-11,1403,Aqua,MODIS,41,6.2,290.3,5.8,D,0,Lisboa VT
41.7367,-6.989,300.1,2.2,1.4,2004-02-11,1404,Aqua,MODIS,29,6.2,288.9,11.6,D,0,Norte
41.9924,-8.3104,300.0,1.8,1.3,2004-02-11,1404,Aqua,MODIS,20,6.2,289.7,8.8,D,0,Norte
40.4454,-7.5357,300.8,2.0,1.4,2004-02-11,1404,Aqua,MODIS,42,6.2,288.9,12.7,D,0,Centro
41.8878,-7.9184,317.6,1.0,1.0,2004-02-12,1131,Terra,MODIS,78,6.2,283.5,16.4,D,0,Norte
41.886,-7.9065,302.5,1.0,1.0,2004-02-12,1131,Terra,MODIS,21,6.2,283.9,5.4,D,0,Norte
41.4429,-7.6669,302.0,1.0,1.0,2004-02-12,1131,Terra,MODIS,50,6.2,284.5,6.1,D,0,Norte
41.3155,-7.8314,313.0,1.0,1.0,2004-02-12,2237,Terra,MODIS,86,6.2,275.7,17.3,N,0,Norte
41.8509,-7.9141,349.8,1.2,1.1,2004-02-13,246,Aqua,MODIS,100,6.2,274.9,82.6,N,0,Norte
41.8485,-7.9006,306.7,1.2,1.1,2004-02-13,246,Aqua,MODIS,69,6.2,273.3,14.9,N,0,Norte
41.8603,-7.9112,302.8,1.2,1.1,2004-02-13,246,Aqua,MODIS,51,6.2,272.6,12.2,N,0,Norte
41.9631,-8.3169,306.1,2.8,1.6,2004-02-13,1214,Terra,MODIS,63,6.2,280.4,37.3,D,0,Norte
41.8781,-7.8403,311.4,3.0,1.6,2004-02-13,1214,Terra,MODIS,71,6.2,282.4,55.0,D,0,Norte
41.9551,-8.2842,301.4,2.8,1.6,2004-02-13,1214,Terra,MODIS,39,6.2,280.5,25.0,D,0,Norte
41.9491,-8.3215,304.5,2.8,1.6,2004-02-13,1214,Terra,MODIS,50,6.2,281.3,31.5,D,0,Norte
38.8543,-8.6187,302.5,1.1,1.1,2004-02-13,1351,Aqua,MODIS,53,6.2,289.0,6.3,D,0,Lisboa VT
40.7455,-7.4197,303.0,1.3,1.1,2004-02-13,1351,Aqua,MODIS,54,6.2,278.6,9.2,D,0,Centro
40.7429,-7.5463,307.2,1.3,1.1,2004-02-13,1351,Aqua,MODIS,65,6.2,285.0,12.0,D,0,Centro
41.9511,-8.3036,306.1,1.3,1.1,2004-02-13,1352,Aqua,MODIS,63,6.2,279.7,11.6,D,0,Norte
41.8615,-7.913,305.1,1.3,1.1,2004-02-13,1352,Aqua,MODIS,61,6.2,283.9,11.2,D,0,Norte
41.9495,-8.3185,313.8,1.3,1.1,2004-02-13,1352,Aqua,MODIS,74,6.2,280.7,19.3,D,0,Norte
41.9026,-6.8252,302.1,1.1,1.0,2004-02-14,1119,Terra,MODIS,50,6.2,277.1,7.7,D,0,Norte
40.8135,-7.4997,301.4,1.1,1.0,2004-02-14,1119,Terra,MODIS,46,6.2,290.4,5.2,D,0,Centro
41.8586,-7.7428,324.0,1.0,1.0,2004-02-14,2225,Terra,MODIS,100,6.2,273.3,28.7,N,0,Norte
41.7657,-8.3663,311.1,1.0,1.0,2004-02-15,1340,Aqua,MODIS,71,6.2,285.4,12.1,D,0,Norte
41.928,-6.8943,300.7,1.1,1.0,2004-02-15,1340,Aqua,MODIS,40,6.2,289.2,5.2,D,0,Norte
42.0354,-8.2149,306.7,1.0,1.0,2004-02-15,1340,Aqua,MODIS,64,6.2,285.3,9.2,D,0,Other
41.8535,-7.9892,311.9,1.0,1.0,2004-02-15,1340,Aqua,MODIS,59,6.2,288.1,10.9,D,0,Norte
41.8462,-7.9745,313.4,1.0,1.0,2004-02-15,1340,Aqua,MODIS,69,6.2,288.9,11.8,D,0,Norte
41.8872,-8.291,302.6,1.0,1.0,2004-02-15,1340,Aqua,MODIS,46,6.2,288.9,5.7,D,0,Norte
41.896,-8.2936,304.3,1.0,1.0,2004-02-15,1340,Aqua,MODIS,58,6.2,284.9,6.6,D,0,Norte
41.9916,-8.1969,302.7,1.1,1.0,2004-02-17,1327,Aqua,MODIS,53,6.2,287.6,5.9,D,0,Norte
41.2223,-7.9069,304.6,1.5,1.2,2004-02-17,2255,Terra,MODIS,61,6.2,274.3,19.9,N,0,Norte
41.7507,-8.0933,309.2,1.4,1.2,2004-02-19,1315,Aqua,MODIS,68,6.2,283.6,16.6,D,0,Norte
41.7124,-8.0664,301.0,1.4,1.2,2004-02-19,1315,Aqua,MODIS,33,6.2,285.8,8.6,D,0,Norte
40.9322,-7.7973,304.5,1.4,1.2,2004-02-19,1315,Aqua,MODIS,59,6.2,282.7,13.5,D,0,Centro
41.62,-6.7156,301.2,1.2,1.1,2004-02-19,1315,Aqua,MODIS,45,6.2,284.0,7.8,D,0,Norte
41.6728,-6.8877,300.5,1.2,1.1,2004-02-19,1315,Aqua,MODIS,39,6.2,281.6,8.3,D,0,Norte
42.1104,-8.2291,309.2,1.4,1.2,2004-02-19,1315,Aqua,MODIS,68,6.2,282.8,17.1,D,0,Other
41.6175,-6.7297,304.0,1.2,1.1,2004-02-19,1315,Aqua,MODIS,58,6.2,282.4,10.0,D,0,Norte
41.7477,-8.1088,301.3,1.4,1.2,2004-02-19,1315,Aqua,MODIS,40,6.2,283.0,8.9,D,0,Norte
41.7657,-7.844,306.0,1.3,1.2,2004-02-19,1315,Aqua,MODIS,47,6.2,283.7,14.7,D,0,Norte
42.0102,-8.2269,303.7,1.1,1.0,2004-02-19,2243,Terra,MODIS,57,6.2,270.6,12.4,N,0,Other
42.0118,-8.2135,369.8,1.1,1.0,2004-02-19,2243,Terra,MODIS,100,6.2,277.6,140.8,N,0,Other
41.5968,-8.0561,310.6,1.1,1.1,2004-02-19,2243,Terra,MODIS,81,6.2,273.6,17.9,N,0,Norte
41.8241,-7.9282,325.1,1.1,1.1,2004-02-19,2243,Terra,MODIS,100,6.2,270.8,34.7,N,0,Norte
41.8257,-7.9148,319.5,1.1,1.1,2004-02-19,2243,Terra,MODIS,99,6.2,270.6,28.0,N,0,Norte
42.0213,-8.2152,352.6,1.1,1.0,2004-02-19,2243,Terra,MODIS,100,6.2,273.4,85.2,N,0,Other
41.8384,-8.3289,300.9,1.5,1.2,2004-02-20,1358,Aqua,MODIS,38,6.2,288.9,8.7,D,0,Norte
41.4521,-7.7125,311.2,1.6,1.2,2004-02-20,1358,Aqua,MODIS,71,6.2,282.0,25.0,D,0,Norte
40.9528,-8.0819,316.0,1.5,1.2,2004-02-20,1358,Aqua,MODIS,66,6.2,281.6,27.4,D,0,Centro
41.8634,-7.7567,306.3,2.9,1.6,2004-02-20,2148,Terra,MODIS,68,6.2,267.4,63.9,N,0,Norte
41.8623,-7.7507,309.6,2.9,1.6,2004-02-20,2148,Terra,MODIS,78,6.2,267.8,73.8,N,0,Norte
38.5774,-8.9563,303.2,1.0,1.0,2004-02-21,1126,Terra,MODIS,55,6.2,287.6,5.3,D,0,Lisboa VT
41.7266,-8.201,309.7,2.1,1.4,2004-02-21,1303,Aqua,MODIS,69,6.2,282.6,33.8,D,0,Norte
41.7213,-8.2247,301.8,2.1,1.4,2004-02-21,1303,Aqua,MODIS,49,6.2,283.3,19.6,D,0,Norte
41.72,-8.218,310.8,2.1,1.4,2004-02-21,1303,Aqua,MODIS,71,6.2,283.7,36.7,D,0,Norte
41.7255,-8.1927,300.7,2.1,1.4,2004-02-21,1303,Aqua,MODIS,41,6.2,282.6,18.2,D,0,Norte
41.947,-8.5991,302.8,1.1,1.0,2004-02-26,1143,Terra,MODIS,54,6.2,283.7,8.2,D,0,Other
40.168,-7.038,300.9,2.4,1.5,2004-03-01,1256,Aqua,MODIS,43,6.2,284.5,21.2,D,0,Centro
40.1635,-7.0431,305.3,2.4,1.5,2004-03-01,1256,Aqua,MODIS,61,6.2,284.6,30.8,D,0,Centro
41.6791,-7.9104,306.0,1.0,1.0,2004-03-02,234,Aqua,MODIS,67,6.2,267.7,13.2,N,0,Norte
40.1615,-7.0473,304.6,1.0,1.0,2004-03-02,1339,Aqua,MODIS,59,6.2,281.2,8.5,D,0,Centro
38.0049,-7.8683,300.1,1.6,1.3,2004-03-04,1150,Terra,MODIS,29,6.2,287.8,6.0,D,0,Alentejo
32.7405,-17.1489,319.2,1.1,1.0,2004-03-04,1152,Terra,MODIS,71,6.2,291.4,17.6,D,0,Other
41.484,-8.2137,300.9,1.1,1.0,2004-03-04,1327,Aqua,MODIS,43,6.2,282.8,5.6,D,0,Norte
32.6931,-17.0002,307.7,1.1,1.0,2004-03-07,255,Aqua,MODIS,56,6.2,281.5,12.4,N,0,Other
38.5281,-9.1194,305.8,1.0,1.0,2004-03-08,1126,Terra,MODIS,61,6.2,290.6,6.6,D,0,Other
37.9266,-8.4876,306.2,1.0,1.0,2004-03-08,1126,Terra,MODIS,63,6.2,290.9,5.8,D,0,Alentejo
37.925,-8.4762,305.1,1.0,1.0,2004-03-08,1126,Terra,MODIS,60,6.2,290.9,5.1,D,0,Alentejo
41.7987,-7.6054,309.6,1.9,1.3,2004-03-08,1303,Aqua,MODIS,69,6.2,286.1,24.1,D,0,Norte
41.5639,-6.4865,302.8,1.7,1.3,2004-03-08,1303,Aqua,MODIS,51,6.2,283.5,10.0,D,0,Other
41.5529,-6.482,306.0,1.7,1.3,2004-03-08,1303,Aqua,MODIS,61,6.2,286.0,14.5,D,0,Other
37.6335,-8.774,301.9,2.8,1.6,2004-03-09,1209,Terra,MODIS,38,6.2,289.9,18.1,D,0,Other
37.6281,-8.7767,303.5,1.0,1.0,2004-03-09,1345,Aqua,MODIS,46,6.2,293.0,3.5,D,0,Other
38.3647,-8.7776,313.2,1.0,1.0,2004-03-09,1345,Aqua,MODIS,63,6.2,296.8,8.5,D,0,Other
38.1565,-8.4046,305.6,1.0,1.0,2004-03-09,1345,Aqua,MODIS,58,6.2,294.8,3.7,D,0,Alentejo
41.6919,-6.9011,306.9,1.0,1.0,2004-03-15,1131,Terra,MODIS,64,6.2,289.8,8.2,D,0,Norte
38.5764,-8.0746,306.7,1.0,1.0,2004-03-15,1132,Terra,MODIS,64,6.2,291.8,6.5,D,0,Lisboa VT
38.0917,-7.7006,305.7,1.0,1.0,2004-03-15,1132,Terra,MODIS,42,6.2,293.8,4.6,D,0,Alentejo
37.9268,-8.4837,307.4,1.0,1.0,2004-03-15,1132,Terra,MODIS,64,6.2,293.8,6.0,D,0,Alentejo
38.2437,-8.6816,314.0,1.0,1.0,2004-03-15,1132,Terra,MODIS,74,6.2,295.1,9.1,D,0,Other
41.508,-6.2945,302.1,1.4,1.2,2004-03-15,1309,Aqua,MODIS,45,6.2,291.9,5.4,D,0,Other
40.4512,-7.4815,301.9,1.7,1.3,2004-03-15,1309,Aqua,MODIS,44,6.2,291.3,7.4,D,0,Centro
41.8374,-6.6726,305.5,1.5,1.2,2004-03-16,1352,Aqua,MODIS,56,6.2,293.3,7.4,D,0,Norte
41.8655,-7.9345,318.2,1.3,1.1,2004-03-16,1352,Aqua,MODIS,65,6.2,294.2,19.7,D,0,Norte
40.1039,-8.1398,336.8,1.1,1.1,2004-03-17,1119,Terra,MODIS,90,6.2,289.4,45.2,D,0,Centro
39.1979,-8.2308,304.2,1.1,1.0,2004-03-17,1119,Terra,MODIS,58,6.2,290.2,4.4,D,0,Lisboa VT
40.1054,-8.1526,322.3,1.1,1.1,2004-03-17,1119,Terra,MODIS,81,6.2,289.7,23.6,D,0,Centro
38.3317,-8.7588,306.1,1.1,1.1,2004-03-17,1120,Terra,MODIS,0,6.2,289.6,5.3,D,0,Other
38.2748,-8.6129,302.8,1.1,1.1,2004-03-17,1120,Terra,MODIS,54,6.2,288.2,4.0,D,0,Other
41.7162,-8.0745,301.7,1.9,1.4,2004-03-18,1201,Terra,MODIS,29,6.2,287.8,11.3,D,0,Norte
38.9779,-8.4379,306.9,1.0,1.0,2004-03-18,1339,Aqua,MODIS,45,6.2,294.9,3.6,D,0,Lisboa VT
38.9591,-8.122,303.8,1.0,1.0,2004-03-18,1339,Aqua,MODIS,29,6.2,291.5,2.3,D,0,Lisboa VT
