latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.2794,-8.3012,305.3,1.6,1.3,2008-01-21,1405,Aqua,MODIS,61,6.2,291.3,11.8,D,0
38.2815,-8.2958,304,1.6,1.3,2008-01-21,1405,Aqua,MODIS,54,6.2,291.3,9.7,D,0
38.1823,-8.7375,305.2,1.5,1.2,2008-01-21,1405,Aqua,MODIS,61,6.2,292.9,10.2,D,0
38.2801,-8.2975,305.8,1,1,2008-01-22,1132,Terra,MODIS,62,6.2,288.6,7.5,D,0
38.2364,-8.6776,300.4,1,1,2008-01-22,1132,Terra,MODIS,37,6.2,289.3,3.9,D,0
38.2784,-8.2861,310.4,1,1,2008-01-22,1132,Terra,MODIS,70,6.2,289.6,10.6,D,0
38.1643,-8.3409,300.9,1.1,1,2008-01-24,1120,Terra,MODIS,43,6.2,286.4,5.5,D,0
41.8742,-7.7441,300.5,1,1,2008-01-25,1342,Aqua,MODIS,38,6.2,278.3,6.4,D,0
38.1714,-7.7473,300.3,1.4,1.2,2008-01-26,1107,Terra,MODIS,35,6.2,287.3,7,D,0
38.1658,-7.7422,301.2,1.4,1.2,2008-01-26,1107,Terra,MODIS,45,6.2,286.8,7.6,D,0
40.9276,-7.8235,305.1,1.4,1.2,2008-01-27,1149,Terra,MODIS,61,6.2,283.4,13.4,D,0
41.8462,-8.335,304.7,1.3,1.1,2008-01-27,1149,Terra,MODIS,60,6.2,289.1,10.4,D,0
40.9307,-7.8395,319.5,1.4,1.2,2008-01-27,1149,Terra,MODIS,79,6.2,285,31.7,D,0
38.03,-8.3899,300.4,1.5,1.2,2008-01-27,1150,Terra,MODIS,36,6.2,287.4,8.1,D,0
38.0333,-8.4066,300.3,1.5,1.2,2008-01-27,1150,Terra,MODIS,33,6.2,287.3,8.1,D,0
41.6802,-6.8803,301.7,1,1,2008-01-27,1329,Aqua,MODIS,49,6.2,286.3,6.2,D,0
41.9701,-8.2746,302.1,1.1,1,2008-01-27,1329,Aqua,MODIS,51,6.2,285.2,6.6,D,0
41.8859,-7.7048,303.1,1,1,2008-01-27,1329,Aqua,MODIS,55,6.2,286,7.4,D,0
41.8581,-8.3287,318.9,1.1,1,2008-01-27,1329,Aqua,MODIS,79,6.2,289.9,20.1,D,0
38.2487,-8.5235,300.5,2,1.4,2008-01-28,1411,Aqua,MODIS,38,6.2,289.9,8.9,D,0
38.8461,-8.6694,304.4,2,1.4,2008-01-28,1411,Aqua,MODIS,59,6.2,290,15.2,D,0
38.8479,-8.647,301.3,2,1.4,2008-01-28,1411,Aqua,MODIS,46,6.2,290.3,10.5,D,0
40.9483,-8.0686,332.1,1,1,2008-01-29,1137,Terra,MODIS,88,6.2,288.6,35.8,D,0
41.9423,-6.775,315.7,1.1,1.1,2008-01-29,1137,Terra,MODIS,76,6.2,285.7,18.6,D,0
41.9446,-6.7885,301.6,1.1,1.1,2008-01-29,1137,Terra,MODIS,48,6.2,284.1,7.4,D,0
38.1589,-8.3402,301,1.1,1,2008-01-29,1138,Terra,MODIS,43,6.2,287.9,5.5,D,0
38.1629,-8.2496,301.3,1.1,1,2008-01-29,1138,Terra,MODIS,46,6.2,287.6,5.5,D,0
40.4385,-7.4789,303,1.4,1.2,2008-01-29,1317,Aqua,MODIS,52,6.2,286.5,9.6,D,0
40.8755,-7.6784,305,1.4,1.2,2008-01-29,1317,Aqua,MODIS,60,6.2,288.4,10.9,D,0
40.4357,-7.4941,300.1,1.4,1.2,2008-01-29,1317,Aqua,MODIS,21,6.2,286.4,7.1,D,0
40.948,-8.0776,302.5,1.4,1.2,2008-01-29,1317,Aqua,MODIS,49,6.2,289.5,8.6,D,0
41.8935,-6.9585,315.5,1.2,1.1,2008-01-29,1317,Aqua,MODIS,76,6.2,285.7,20.8,D,0
41.9342,-6.788,300.3,1.2,1.1,2008-01-29,1317,Aqua,MODIS,33,6.2,286.2,6.6,D,0
40.4445,-7.4867,308.1,1.4,1.2,2008-01-29,1317,Aqua,MODIS,66,6.2,285.2,14.8,D,0
40.8705,-7.6717,305,1.4,1.2,2008-01-29,1317,Aqua,MODIS,60,6.2,288.5,11.1,D,0
41.7585,-7.9357,307.9,1.1,1.1,2008-01-29,2243,Terra,MODIS,73,6.2,273.5,15.8,N,0
41.7773,-8.2173,301.7,1.5,1.2,2008-01-30,1400,Aqua,MODIS,46,6.2,284.3,10.8,D,0
39.4134,-9.1023,300,1.1,1,2008-01-31,1125,Terra,MODIS,24,6.2,285.2,5.4,D,0
38.2713,-7.6409,309.3,1,1,2008-01-31,1126,Terra,MODIS,68,6.2,286.6,10.3,D,0
38.0679,-8.2772,300.9,1,1,2008-01-31,1126,Terra,MODIS,43,6.2,283.9,5.2,D,0
41.9421,-7.1334,306.3,1.8,1.3,2008-01-31,1305,Aqua,MODIS,63,6.2,283.3,22.4,D,0
40.4634,-7.4977,311.1,1.1,1.1,2008-02-01,1347,Aqua,MODIS,29,6.2,278.7,14.7,D,0
40.4854,-7.4756,313.9,1.1,1.1,2008-02-01,1347,Aqua,MODIS,35,6.2,273.9,16.3,D,0
38.236,-8.5776,300.8,1,1,2008-02-07,1132,Terra,MODIS,42,6.2,290,3.9,D,0
38.076,-8.1994,311.2,1,1,2008-02-07,1132,Terra,MODIS,71,6.2,289.9,10.5,D,0
38.1819,-8.3444,301.3,1,1,2008-02-07,1132,Terra,MODIS,46,6.2,289.3,4.4,D,0
38.1664,-8.7287,302.8,1,1,2008-02-07,1132,Terra,MODIS,54,6.2,290.9,4.9,D,0
41.5175,-8.4651,316.8,1,1,2008-02-07,2237,Terra,MODIS,94,6.2,280.7,18.9,N,0
38.1446,-8.3114,304.9,1.1,1.1,2008-02-08,1353,Aqua,MODIS,59,6.2,292.8,5.9,D,0
38.4377,-7.8791,302.9,1.2,1.1,2008-02-08,1353,Aqua,MODIS,54,6.2,291.7,5.5,D,0
40.921,-7.8324,300.9,1.3,1.1,2008-02-08,1354,Aqua,MODIS,42,6.2,288.1,6,D,0
40.3139,-6.9678,302.5,1.1,1,2008-02-10,1341,Aqua,MODIS,52,6.2,290.5,5.4,D,0
40.9091,-7.7698,301.3,1,1,2008-02-10,1341,Aqua,MODIS,46,6.2,290.9,3.8,D,0
